Renderer,Driver,MSAA,width,height,FPS,seconds,core_temp,core_temp_fahrenheit,core_vddc,core_load,gpu_power,core_clock,mem_clock,sys_mem_load,proc_mem_load,gpu_mem_load
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,44.0,111.2,0.000,3.0,10.6,300.0,810.0,20,81555456,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,2.0,0.0,683.0,810.0,20,81555456,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,44.0,111.2,0.000,4.0,10.2,300.0,405.0,20,80404480,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,2.0,0.0,189.0,405.0,20,80404480,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,5.0,10.1,300.0,405.0,20,80404480,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,0.0,0.0,189.0,405.0,20,80404480,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,5.0,10.1,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,3.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,5.0,10.0,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,3.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,6.0,10.0,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,2.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,4.0,10.0,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,0.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,4.0,10.0,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,0.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,4.0,10.1,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,0.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,43.0,109.4,0.000,4.0,10.0,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,2.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,42.0,107.6,0.000,5.0,10.2,300.0,405.0,20,80306176,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,41.0,105.8,0.000,3.0,0.0,139.0,405.0,20,80306176,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,42.0,107.6,0.000,4.0,10.1,300.0,405.0,20,80306176,1133
